workload	property	short_name	kind_arg	extra_features
itertools	CwrSizeHintOverflow	cwr_remaining_overflow	patch:patches/cwr_remaining_overflow_c13ee58_1.patch	etna
mime	SubtypeWithPlus	subtype_with_plus	marauders:subtype_with_plus_5ebf32e_1	
mime	StripEmptyParams	strip_empty_params	marauders:strip_empty_params_7a39824_1	
mime	OwsBeforeSemicolon	ows_before_semicolon	patch:patches/ows_before_semicolon_2e0268e_1.patch	
mime	QuotedVsUnquotedParamEq	quoted_vs_unquoted_param_eq	patch:patches/quoted_vs_unquoted_param_eq_0bba696_1.patch	
nom-rs	Multispace0ConsumesAllWhitespace	multispace0_consumes_all_whitespace	patch:patches/multispace0_consumes_all_whitespace_51c3c4e_1.patch	alloc
nom-rs	FloatParsesInfinityFully	float_parses_infinity_fully	patch:patches/float_parses_infinity_fully_63def4e_1.patch	alloc
nom-rs	CountHandlesZeroSizedOutput	count_handles_zero_sized_output	patch:patches/count_handles_zero_sized_output_931bcf0_1.patch	alloc
num-bigint	IsMultipleOfZero	is_multiple_of_zero	patch:patches/is_multiple_of_zero_016c04a_1.patch	
num-bigint	MulSquareAllOnes	mac3_all_zero	patch:patches/mac3_all_zero_0940e50_1.patch	
num-bigint	MulSquareAllOnes	mul_undersized_buffer	patch:patches/mul_undersized_buffer_8008707_1.patch	
num-bigint	NegIsizeAddassign	neg_isize_promotion	patch:patches/neg_isize_promotion_3b13d9a_1.patch	
num-bigint	ScalarDivByZeroPanics	scalar_div_zero	patch:patches/scalar_div_zero_5dcf2a1_1.patch	
ordered-float	HashMatchesEq	hash_signed_zero	patch:patches/hash_signed_zero_3aa8aa5_1.patch	
ordered-float	NotnanBinopNoNan	notnan_binop_skip_nan_check	patch:patches/notnan_binop_skip_nan_check_8d56a3c_1.patch	
ordered-float	PartialCmpMatchesCmp	partial_cmp_delegates_to_inner	patch:patches/partial_cmp_delegates_to_inner_184a381_1.patch	
ordered-float	AssignPanicSafe	notnan_assign_not_panic_safe	patch:patches/notnan_assign_not_panic_safe_c55cda3_1.patch	
rangemap	CoalesceNoAdjacentSameValue	coalesce_contiguous	marauders:coalesce_contiguous_d1999f4_1	etna
rangemap	PartialEqMatchesIterEq	partialeq_map	marauders:partialeq_map_b3a59e6_1	etna
rangemap	InclusiveEqMatchesIterEq	inclusive_equality	marauders:inclusive_equality_a6cdac3_1	etna
rangemap	OverlappingReversible	overlapping_backwards	marauders:overlapping_backwards_6df612f_1	etna
regex	GcNeSeparatorNegation	unicode_named_value_negation	patch:patches/unicode_named_value_negation_c4865a0_1.patch	
regex	CaptureLocationsGetOverflow	captures_get_group_overflow	patch:patches/captures_get_group_overflow_ab76b86_1.patch	
regex	AlternationLiteralFromAlt	alternation_literal_from_alt	patch:patches/alternation_literal_from_alt_33898de_1.patch	
ropey	LinesMatchModel	lines_empty_total_lines	patch:patches/lines_empty_total_lines_faf6738_1.patch	
ropey	RopeHashChunkInvariant	rope_hash_chunk_boundary	patch:patches/rope_hash_chunk_boundary_fef5be9_1.patch	
ropey	Utf16CharRoundtrip	utf16_code_unit_conversion	patch:patches/utf16_code_unit_conversion_c0af16b_1.patch	
ropey	RopeBuilderDefaultBuild	rope_builder_default_empty_stack	patch:patches/rope_builder_default_empty_stack_dfcac8b_1.patch	
rust-base64	BinhexAlphabetMatchesSpec	binhex_alphabet	patch:patches/binhex_alphabet_838355e_1.patch	
rust-base64	DecodedLenEstimateDoesNotPanic	decoded_len_overflow	patch:patches/decoded_len_overflow_fa47981_1.patch	
rust-csv	ResetClearsOutputPosition	core_reader_reset_output_pos_zero	patch:patches/core_reader_reset_output_pos_zero_066de4a_1.patch	
rust-csv	TrimAllAppliesWithoutHeaders	reader_trim_all_without_headers	patch:patches/reader_trim_all_without_headers_ce01ae7_1.patch	
rust-csv	WriterCommentCharAutoQuote	writer_comment_char_auto_quote	patch:patches/writer_comment_char_auto_quote_0f64d3f_1.patch	
rust-csv	ByteRecordEqMatchesFields	byte_record_eq_field_boundaries	patch:patches/byte_record_eq_field_boundaries_efc4a51_1.patch	
rust-csv	ByteRecordEqMatchesFields	byte_record_eq_length_check	patch:patches/byte_record_eq_length_check_23fb0cd_1.patch	
rust-csv	CommentOnlyAtRecordStart	core_reader_comment_only_at_record_start	patch:patches/core_reader_comment_only_at_record_start_a5745ba_1.patch	
rust-csv	DeserializeByteBufAcceptsNonUtf8	deserialize_byte_buf_bypasses_utf8	patch:patches/deserialize_byte_buf_bypasses_utf8_9e644e6_1.patch	
rust-decimal	AbsSubDifference	abs_sub_returns_abs	patch:patches/abs_sub_returns_abs_dd711db_1.patch	
rust-decimal	FromI128Extremes	from_i128_negation_overflow	patch:patches/from_i128_negation_overflow_6f7d295_1.patch	
rust-decimal	RoundDpPreservesWhenDpExceedsScale	round_dp_early_return_reorder	patch:patches/round_dp_early_return_reorder_c205456_1.patch	
rust-decimal	ScientificFmtRoundtrip	scientific_fmt_zero	patch:patches/scientific_fmt_zero_d0f2a64_1.patch	
rust-decimal	FromScientificNoPanic	scientific_scale_overflow	patch:patches/scientific_scale_overflow_722af9f_1.patch	
rust-decimal	CheckedDivNoPanic	div_remainder_overflow	patch:patches/div_remainder_overflow_a231fbf_1.patch	
semver	LessRejectsPrerelease	less_prerelease	patch:patches/less_prerelease_5742fc2_1.patch	
semver	ParseRejectsDigitAfterMinorWildcard	wildcard_patch_digit	patch:patches/wildcard_patch_digit_a5850bb_1.patch	
semver	VersionDebugOmitsEmpty	debug_omits_empty	patch:patches/debug_omits_empty_ae1b06c_1.patch	
simdutf8	BasicMatchesStd	incomplete_eof_basic	marauders:incomplete_eof_basic_8c24752_1	
simdutf8	CompatMatchesStd	incomplete_eof_compat	marauders:incomplete_eof_compat_8c24752_2	
slotmap	KeyDataDebugFormat	kd_debug_null_format	marauders:kd_debug_null_format_226c22a_1	
slotmap	SparseSecondaryNullInsertIgnored	sparse_secondary_null_insert_guard	marauders:sparse_secondary_null_insert_guard_2d49bbd_1	
slotmap	SecondaryEntryDoesNotDoubleCount	vacant_entry_insert_no_double_count	marauders:vacant_entry_insert_no_double_count_bd32b7d_1	
slotmap	SlotmapCloneFromDropsOverwrittenSlot	slot_clone_from_drops_occupied	marauders:slot_clone_from_drops_occupied_5c3fb22_1	
smallvec	LeakInlinePanics	leak_inline_panic	patch:patches/leak_inline_panic_3395246_1.patch	etna
smallvec	AppendPreservesLength	append_set_len	patch:patches/append_set_len_1bd2dbc_1.patch	etna
smallvec	FromVecZeroCapacity	from_vec_zero_capacity	patch:patches/from_vec_zero_capacity_944f603_1.patch	etna
tinyvec	ArrayvecDebugMatchesSlice	debug_alternate_empty	marauders:debug_alternate_empty_a711c72_1	etna
tinyvec	RemovePastEndPanics	remove_past_end_silent	marauders:remove_past_end_silent_fd3c92c_1	etna
tinyvec	SwapRemoveLastReturnsTail	swap_remove_last	marauders:swap_remove_last_71ad62a_1	etna
tinyvec	DrainMatchesSliceRange	drain_end_off_by_one	marauders:drain_end_off_by_one_9117614_1	etna
unicode-segmentation	GraphemeNextBoundaryEmptyChunk	grapheme_next_boundary_unwrap	patch:patches/grapheme_next_boundary_unwrap_0f55f70_1.patch	etna
unicode-segmentation	GraphemePrevBoundaryChunkStart	grapheme_prev_boundary_chunk_start	patch:patches/grapheme_prev_boundary_chunk_start_fb5d7b6_1.patch	etna
unicode-segmentation	AsciiWordBoundIndicesMatch	ascii_word_bound_drop_apostrophe	patch:patches/ascii_word_bound_drop_apostrophe_af87c8d_1.patch	etna
uuid	FromToFieldsLeRoundtrip	to_fields_le_byte_swap	patch:patches/to_fields_le_byte_swap_0a096d4_1.patch	v7
uuid	V7EncodeByteLayout	v7_random_bytes_order	patch:patches/v7_random_bytes_order_3af4733_1.patch	v7
uuid	VersionMaxRequiresAllOnes	version_max_guard	patch:patches/version_max_guard_0ed83cf_1.patch	v7
